codigo,nome,nome_bairro,faixa_preco,populacao,densidade_demografica,weekday,weekday_count,periodo_manha,manha_count,periodo_tarde,tarde_count,periodo_noite,noite_count,endereco
350461068360107,Pimenta Fresca Restaurante,Taquaral,2,62735,4755.858116457308,Thu,169,manha,29,tarde,103,noite,37,"Av josé Rocha Bonfim, 214 - Praça Capital, 13080650 Campinas"
527451747266281,FORNERIA BOM GOURMET,Alphavile Campinas,0,13188,580.7593732660448,Fri,6,manha,2,tarde,2,noite,2,"Rua: Luiz Dionisio de Souza, 20 - Jd Mirian, 13098-426 Campinas"
383578861757047,Old Dog Campinas barão geraldo,Barão Geraldo,3,38740,1010.9445050442843,Thu,88,manha,46,tarde,30,noite,12,"Albino José Barbosa de Oliveira,1791, 13084-008 Campinas"
1594913787468111,Delicia Ice Cream Shop,Campo Belo (Cidade Singer),0,47336,4325.608597119673,Tue,6,manha,1,tarde,4,noite,1,"Rua Salim Zaidan, 18 - Vila Palmeiras II, 13053-261 Campinas"
362420407259634,Brutus Bar e Lanchonete,Swift,2,86361,6354.185060921773,Tue,10,manha,2,tarde,6,noite,2,"Avenida Arlindo Joaquim de Lemos 713, 13100450 Campinas"
142899949228586,Docinhos e Salgadinhos da Linda,Ouro Verde,0,141490,4786.3739386353645,Wed,54,manha,14,tarde,19,noite,21,"regina ana martins cipriano n 92 dic 2, 13054216 Campinas"
621100611325695,Delizie - Marmitaria,Ouro Verde,0,141490,4786.3739386353645,Fri,8,manha,3,tarde,2,noite,3,"Rua Laercio Leite de Godoy, 515, 13054520 Campinas"
338506032881676,Sorveteria Sonho Gelado Sorvetes Sergel,Campo Grande,1,105720,2248.954976227704,Wed,16,manha,5,tarde,5,noite,6,"Rua Julio Bocaletti, 55 Pq.Valença I, 13058-510 Campinas"
529608273852901,Barão Lanches,Barão Geraldo,1,38740,1010.9445050442843,Wed,188,manha,98,tarde,81,noite,9,"Rua Agostinho Pattaro Nº 231 Barão Geraldo, 13084-012 Campinas"
194213554269044,Mr. Gordin's,Jardim do Trevo,1,52376,3893.865837973667,Sat,106,manha,32,tarde,31,noite,43,"Rua Aparecida Leopoldina Faustino, 13051-259 Campinas"
714655078702882,Boteco Ipiranga,Ouro Verde,1,141490,4786.3739386353645,Sat,166,manha,67,tarde,63,noite,36,"1879-1927 Avenida Ruy Rodrigues, 13056-460 Campinas"
294409667326725,Bar Candreva,Swift,3,86361,6354.185060921773,Sun,86,manha,30,tarde,52,noite,4,"Av. Monte Castelo, 23 - Proença, 13026-241 Campinas"
447172062159843,Buffet Alvorada,Ouro Verde,2,141490,4786.3739386353645,Sun,18,manha,5,tarde,8,noite,5,"Rua Yves Montand, 350, 13054-047 Campinas"
455284261487558,Açai Do Bebé.,Taquaral,1,62735,4755.858116457308,Sun,37,manha,6,tarde,11,noite,20,"Odilon MAUDONNET 33, 13088-651 Campinas"
491918990988741,Vitoria Pizzas e Lanches,Campo Grande,1,105720,2248.954976227704,Sun,77,manha,25,tarde,15,noite,37,"Rua Beijamin Moloisi 375 Parque Itajai 1, 13058020 Campinas"
